Date,Open,High,Low,Close,Volume
2013-10-08,962.91,981.54,959.79,978.53,1090000000
2013-10-09,979.87,980.75,973.3,979.02,906230000
2013-10-10,981.2,995,979.84,991.92,1350000000
2013-10-11,1004.42,1005.07,992.88,996.01,1290000000
2013-10-14,990.16,998.42,984.19,997.23,2160000000
2013-10-15,1004.08,1009.38,1001.28,1006.65,1730000000
2013-10-16,1005.22,1010.44,999.59,999.59,2320000000
2013-10-17,1003.47,1011.19,997.75,1002.85,2770000000
2013-10-18,1008.58,1014.87,1003.93,1014.42,1310000000
2013-10-21,1013.57,1014.28,986.25,988.5,1500000000
2013-10-22,987.13,994.7,981.17,994.7,1270000000
2013-10-24,986.34,1001.3,984.68,1001.3,1020000000
2013-10-25,999.47,999.77,989.83,992.01,1040000000
2013-10-28,995.08,998.55,984.47,988.57,623540000
2013-10-29,988.16,993.63,985.33,992.83,772830000
2013-10-30,993.21,993.72,973.87,977.09,1250000000
2013-10-31,971.42,987.06,968.53,987.06,1870000000
2013-11-01,977.54,980.08,971.46,977.27,1110000000
2013-11-04,965.43,965.78,949.11,949.84,1320000000
2013-11-05,954.97,969.49,954.25,967.41,1510000000
2013-11-06,969.8,983.65,962.4,982.61,1440000000
2013-11-07,980.49,986.31,971.77,975.97,1580000000
2013-11-08,968.54,968.95,955.22,960.68,1390000000
2013-11-11,944.72,964.47,941.84,962.39,1150000000
2013-11-12,970.04,974.2,963.65,965.95,913320000
2013-11-13,958.74,965.89,956.86,957.5,778580000
2013-11-14,962.46,971.11,961.87,966.27,1060000000
2013-11-15,973.12,975.49,965.77,971.07,968120000
2013-11-18,977.78,978.68,972.34,974.16,971910000
2013-11-19,972.29,972.8,963.46,966.06,688950000
2013-11-20,967.93,972.68,957.31,960.66,1510000000
2013-11-21,952.46,953.2,939.04,940.41,1220000000
2013-11-22,937.53,941.76,924.63,927.07,1290000000
2013-11-25,918.12,928.66,917.24,923.3,894310000
2013-11-26,919.54,934.71,918.07,927.55,2660000000
2013-11-27,924.96,938.51,924.04,937.53,1370000000
2013-11-28,940.56,942.25,924.82,927.29,1080000000
2013-11-29,924.34,935.83,920.7,935.22,936700000
2013-12-02,926.74,939.59,921.06,938.8,1160000000
2013-12-03,938.24,952.77,937.46,945.88,1550000000
2013-12-04,943.32,949.81,939.42,939.42,783810000
2013-12-06,936.76,939.51,923.1,928.98,1020000000
2013-12-09,935.98,942.05,925.08,934.34,910340000
2013-12-11,929.81,937.28,929.39,935.79,638420000
2013-12-12,931.54,934.96,925.03,925.03,986670000
2013-12-13,923.87,926.03,909.99,912.95,901930000
2013-12-16,909.99,911.11,902.11,904.51,709670000
2013-12-17,910.16,914.24,908.74,911.88,885390000
2013-12-18,915.51,925.25,914.71,922.32,827880000
2013-12-19,922.46,925.26,916.5,919.45,848000000
2013-12-20,918.72,919.22,907.92,916.83,676350000
2013-12-23,916.16,917.11,901.41,904.57,668910000
2013-12-24,900.86,911.42,900.1,905.31,585010000
2013-12-25,906.41,910.11,904.77,909.6,477400000
2013-12-26,910.28,910.83,886.22,891.45,889220000
2013-12-27,888.91,889.61,875.17,883.4,1150000000
2014-01-02,878.09,878.8,833.29,833.29,1150000000
2014-01-03,822.27,837.38,816.5,829.89,1320000000
2014-01-06,829.46,838.87,815.56,837.68,1210000000
2014-01-07,842.15,861.71,840.12,861.63,1130000000
2014-01-08,861.4,871.47,854.5,859.35,1150000000
2014-01-09,864.58,875.56,856.62,860,919860000
